EXC,CR_TIM,EVJP_VAL_HIGH,EVJP_VAL_LOW,JP_CASINO_ID,JP_GROUP,JP_INSTANCE,JP_LH_DATTIM,JP_LH_SM,JP_LH_VALUE,JP_NAME,JP_STATUS,JP_TYPE,JP_VALUE,READ_ID
11302,1772520600,120000000,100000000,600,7001,11,1569144508,3262,110504648.62391362,PREMIUM,SUSP,E,102430072.67269588,123
11302,1772520600,100000000,85000000,600,3101,48,1652454295,3135,90083390.27801083,HGRAND,SUSP,E,86458048.81600067,123
11302,1772520600,1000000000,500000000,600,10001,4,1505754807,7542,966626338.3584765,PARADISE MEGA JACKPOT,SUSP,E,653218588.4026221,123
11302,1772520600,10000000,5000000,600,3201,88,1654629988,3016,9038059.025647609,MGRAND,SUSP,E,7861040.72962939,123
11302,1772520600,1000000000,999999990,600,9998,52,1492572673,191,1000000000.0,MEGA JACKPOT TEST,SUSP,E,999999990,123
11302,1772520600,1000000000,500000000,600,10002,11,1575282277,070,620132095.553037,PARADISE MEGA_JACKPOT,SUSP,E,746881523.919061,123
11302,1772520600,"","",602,140,"","","","",THREE EYED GOD MAJOR,SUSP,P,"",1
11302,1772520600,"","",602,141,1,"","","",THREE EYED GOD GRAND,ON,P,11778878.080003005,1
11302,1772520600,"","",602,142,"","","","",EXTREME WILD LANTERNS MAJOR,SUSP,P,"",1
11302,1772520600,"","",602,143,1,"","","",EXTREME WILD LANTERMS GRAND,ON,P,13529587.599990414,1
11302,1772520600,100000000,50000000,602,3001,13,1514975016,3175,97413407.9597437,GRAND,SUSP,E,50890129.88000011,1
11302,1772520600,2000000,1000000,602,3002,234,1514971727,3160,1007316.1,MAJOR,SUSP,E,1531344.220000022,1
11302,1772520600,500000,300000,602,3003,1083,1514983211,3175,470818.60500000214,MINOR,SUSP,E,440385.90000001533,1
11302,1772520600,300000,100000,602,3004,1261,1515008952,3108,291042.4059999603,MINI,SUSP,E,111191.32000000069,1
11302,1772520600,"","",602,9998,"","","","",Test_DragonLink_Major,SUSP,P,"",1
11302,1772520600,"","",602,9999,"","","","",Test_DragonLink_Grand,SUSP,P,"",1
11302,1772520600,"","",602,10005,1,"","","",SHFP_TEST_1,SUSP,P,35000000,1
11302,1772520600,"","",602,10006,1,"","","",SHFP_TEST_2,SUSP,P,5000000,1
11302,1772520600,5000000,3000000,602,6001,29,1769746193,5157,4554138.264913114,Promo_ETG_Jackpot,SUSP,E,3462696.5869740034,1
11302,1772520600,"","",602,10007,1,"","","",Huff_TEST_1,SUSP,P,25000000,1
11302,1772520600,"","",602,10008,1,"","","",Huff_TEST_2,SUSP,P,6250000,1
11302,1772520600,500000,200000,602,6004,36,1772441183,5180,348847.117280014,ETG_PROMO_LEVEL1,ON,E,291187.54591999867,1
11302,1772520600,"","",602,10009,1,"","","",Huff_TEST_3,SUSP,P,625000,1
11302,1772520600,5000000,3000000,602,6006,5,1772514352,5152,3748485.948560662,ETG_PROMP_LEVEL 2,ON,E,3007112.2768,1
11302,1772520600,10000000,5000000,602,3102,946,1654344776,3255,8785490.179997573,HMAJOR,SUSP,E,7762124.120000441,1
11302,1772520600,2000000,1000000,602,3103,4558,1656398731,3260,1157701.2800000017,HMINOR,SUSP,E,1171785.600000003,1
11302,1772520600,"","",602,101,"","","","",SSLF_GRAND,SUSP,P,"",1
11302,1772520600,"","",602,102,"","","","",SSLF_MAJOR,SUSP,P,"",1
11302,1772520600,"","",602,103,"","","","",SSFT_GRAND,SUSP,P,"",1
11302,1772520600,"","",602,104,"","","","",SSFT_MAJOR,SUSP,P,"",1
11302,1772520600,50000000,30000000,602,4001,1,"","","",HL_Dragon,SUSP,E,30115795.999999996,1
11302,1772520600,50000000,30000000,602,4002,1,"","","",HL_Tiger,SUSP,E,30075158.399999995,1
11302,1772520600,"","",602,105,1,"","","",BK_GRAND,SUSP,P,10007716.0,1
11302,1772520600,1100,1000,602,99992,122,1621303934,5155,2000.0,TEST Credit down,SUSP,E,1000,1
11302,1772520600,50000000,30000000,602,4003,1,"","","",HL_Phoenix,SUSP,E,30118160.799999997,1
11302,1772520600,"","",602,99993,1,"","","",TEST L1,ON,P,10291768.56,1
11302,1772520600,"","",602,106,1,"","","",BK_MAJOR,SUSP,P,515442.0,1
11302,1772520600,"","",602,107,5,1756291325,3282,10726594.0,SSLF2_GRAND,SUSP,P,11402157.5,1
11302,1772520600,"","",602,99994,1,"","","",TEST L2,ON,P,1083087.12,1
11302,1772520600,"","",602,108,44,1767058783,3285,3419660.0,SSLF2_MAJOR,SUSP,P,2899793.0,1
11302,1772520600,"","",602,110,11,1761634267,3288,7806972.1,SSFT2_MAJOR,ON,P,4992020.0,1
11302,1772520600,"","",602,109,5,1757075035,3289,10360736.05,SSFT2_GRAND,ON,P,11836593.5,1
11302,1772520600,200000000,100000000,602,11,6,1732198827,3255,183286419.5281238,HL_MEGA,SUSP,E,102234139.36300027,1
11302,1772520600,50000000,30000000,602,4007,14,1769418613,3255,48937703.02003272,HL DRAGON,ON,E,41341325.67998389,1
11302,1772520600,100000000,40000000,602,111,1,"","","",M_MEGA,SUSP,E,10000134.54,1
11302,1772520600,50000000,30000000,602,12,36,1732475474,3261,48118707.86879159,HL_GRAND,SUSP,E,30037518.096,1
11302,1772520600,50000000,30000000,602,4008,15,1771234470,3259,47086061.600035846,HL TIGER,ON,E,35347717.809996314,1
11302,1772520600,10000000,5000000,602,112,54,1770119765,3125,6732371.254610642,M_GRAND,ON,E,6548617.927509183,1
11302,1772520600,5000000,3000000,602,13,329,1732470668,3271,4777924.116000101,HL_MAJOR,SUSP,E,3149350.439999999,1
11302,1772520600,50000000,30000000,602,4009,13,1772265474,3114,43466249.239998646,HL PHOENIX,ON,E,31561269.760000724,1
11302,1772520600,1500000,500000,602,14,890,1732474676,3261,1473957.6580999615,HL_MINOR,SUSP,E,583260.3345000003,1
11302,1772520600,1000000,300000,602,113,1279,1772304253,3250,343408.57104000077,M_MAJOR,ON,E,681893.3107201168,1
11302,1772520600,100000,30000,602,114,22192,1772520495,3075,49269.81216000061,M_MINOR,ON,E,30765.5328,1
11302,1772520600,100000000,10000000,602,115,4,1728288372,3252,16280855.924028218,M_MEGA2,ON,E,44846449.55454253,1
11302,1772520600,1000000,500000,602,3202,2516,1656584670,3093,585263.4032000153,MMAJOR,SUSP,E,550229.4526000092,1
11302,1772520600,200000,50000,602,3203,13249,1656598744,3178,74747.47700000013,MMINOR,SUSP,E,63572.39400000034,1
11302,1772520600,100000,50000,602,3204,4942,1593176528,3216,91489.57419999929,MMINI,SUSP,E,71816.27550000072,1
11302,1772520600,"","",602,120,13,1752946292,3293,10968185.5,BK2_GRAND,SUSP,P,13630938.0,1
11302,1772520600,"","",602,121,65,1765372363,3296,1122341.0,BK2_MAJOR,SUSP,P,1674630.0,1
11302,1772520600,"","",602,130,13,1768965477,3299,10000000,R_Evil_Grand,ON,P,12726270.399999674,1
11302,1772520600,"","",602,131,1,"","","",HOD_Grand,ON,P,16933003.600097045,1
11302,1772520600,2000000,500000,602,5001,819,1758845810,5154,1516905.8911707052,ETG JACKPOT,SUSP,E,1522242.6779506854,1
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
